flight,time,wind_speed,wind_angle,battery_voltage,battery_current,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,route
221,97.21,3.5999999046325684,328.0,21.461400985717773,21.891233444213867,-0.1427979237480632,-0.0674416699205726,-0.06632612534495,0.142335832118988,-0.0510851889848709,0.1417631655931472,0.0408298552315682,0.5111172531545163,-9.703680077791212,0.0,0.0,3,H
221,97.3,3.5999999046325684,328.0,21.42008399963379,23.15556526184082,-0.1306739842931709,-0.0573877105386557,-0.0419428795386424,0.0012647932162508,-0.0508311055600643,0.1448782682418823,-0.0120831295335665,0.2725075668655336,-9.886411414146425,0.0,0.0,3,H
221,97.5,3.5,327.0,21.46640968322754,21.604969024658203,-0.1175423849426016,-0.0536094508003065,-0.0272962796086315,-0.1036127507686615,-0.0391596481204032,-0.015319381840527,-0.0121939548267982,0.4731022018566728,-9.947608373165131,0.0,0.0,3,H
221,97.6,3.5,329.0,21.48894691467285,22.04231643676757,-0.0849579321671358,-0.0401213504750295,-0.0151549266371021,-0.0211511701345443,0.0054371892474591,0.0414068438112735,0.0034129466861486,0.4411629557982088,-9.873484389781954,0.0,0.0,3,H
221,97.8,3.5999999046325684,330.0,21.473920822143555,21.00858688354492,-0.0942521756213943,-0.0354464509883841,-0.0140737806885807,-0.0727075561881065,-0.0377129390835762,-0.0147192254662513,-0.0648858211934566,0.3861865936964751,-9.884802260398867,0.0,0.0,3,H
221,97.91,3.5999999046325684,332.0,21.38627815246582,23.322553634643555,-0.0912472120538026,-0.0045040888100639,-0.0606395164103707,0.0812282264232635,-0.1738267391920089,-0.0540398061275482,0.1077032912056893,0.6379944507032633,-9.409546419382096,0.0,0.0,3,H
221,98.1,3.5999999046325684,332.0,21.42634391784668,22.614845275878903,-0.0957310774204437,0.0074428488342931,-0.0907695736693507,0.1108588054776191,-0.0187485683709383,0.0451610945165157,0.0773441638145595,0.4927193545550108,-9.509113392233848,0.0,0.0,3,H
221,98.3,3.5999999046325684,332.0,21.37375831604004,22.88520622253418,-0.1278662841269732,0.0414333304556683,-0.1201941602274919,-0.0765450522303581,0.114889420568943,-0.1512235403060913,0.004009919995442,0.6438434936106205,-9.652471917271615,0.0,0.0,3,H
221,98.4,3.5999999046325684,333.0,21.324928283691406,24.69820976257324,-0.1207255917595251,0.0464193496729657,-0.0513815713364457,0.0477197840809822,0.2969247698783874,-0.1065968126058578,-0.0021865799976512,0.4191181122511626,-9.901358066797258,0.0,0.0,3,H
221,98.5,3.5,332.0,21.32868385314941,25.40591812133789,-0.1147672452992663,0.0422275853346103,-0.0124548427212843,0.1420846730470657,0.0332997776567935,-0.008408224210143,0.0718379504699259,0.5492138365656137,-10.208184860944748,0.0,0.0,3,H
221,98.71,3.5999999046325684,334.0,21.44637680053711,22.392194747924805,-0.0790736524575082,0.0211659273761647,0.0378014056638298,0.2605672180652618,-0.0941196829080581,0.1193351745605468,-0.0137528156675398,0.2373400365002453,-10.203127019405365,0.0,0.0,3,H
221,98.91,3.5999999046325684,334.0,21.54904556274414,19.982807159423828,-0.0152620534123306,0.0056366968442219,0.0619264537246659,-0.1359333842992782,-0.1566432863473892,0.2085237950086593,-0.1558457656949758,0.1676331677287817,-10.11841255903244,0.0,0.0,3,H
221,99.0,3.5999999046325684,335.0,21.57533836364746,19.521604537963867,-0.0042058252365445,0.0154308826431754,0.0572723341169272,-0.1031424850225448,-0.1060968562960624,0.0015848849434405,-0.2257821011357009,0.5380667046457529,-9.808002006411552,0.0,0.0,3,H
221,99.1,3.700000047683716,332.0,21.511484146118164,20.730274200439453,-0.0014903635619233,0.008906298592512,0.0010776517409814,-0.0221097879111766,0.056540597230196,-0.1010509729385376,-0.0601158453896641,0.7383586183190346,-9.61983159005642,0.0,0.0,3,H
221,99.3,3.700000047683716,334.0,21.497711181640625,21.85942649841309,-0.0130813736540244,0.0193677314069024,-0.014763475467231,0.0324369519948959,0.1348584741353988,-0.0131019661203026,-0.1140229162015021,0.6876572652161121,-9.622190356850624,0.0,0.0,3,H
221,99.41,3.5999999046325684,336.0,21.471418380737305,21.469789505004886,-0.0142014842230867,0.0127512518704032,-0.0257229881119285,0.0862709507346153,-0.0113675398752093,-0.0374388583004474,-0.1928969948552549,0.5811060856282712,-9.700106259584429,0.0,0.0,3,H
221,99.6,3.700000047683716,338.0,21.456392288208008,21.65267944335937,-0.036356559819388,0.0214209161969294,-0.0348054539901787,-0.0117660332471132,-0.0658335983753204,-0.0198151860386133,-0.2126339972019196,0.5347537818923593,-9.643489424586296,0.0,0.0,3,H
221,99.81,3.700000047683716,343.0,21.35497665405273,23.68833541870117,-0.0607918306846575,0.0191269723525997,-0.0323829216830271,-0.1092139929533004,0.1158905401825904,-0.1230487450957298,-0.2710438260622322,0.2883270443603397,-9.647083123326302,0.0,0.0,3,H
221,99.91,3.5999999046325684,344.0,21.29863548278809,24.252910614013672,-0.072289079990535,0.0347867443983079,-0.0371007885348159,-0.0432708412408828,0.0364725776016712,-0.0344154611229896,-0.0716924507310614,0.4329789004102349,-9.690593424439433,0.0,0.0,3,H
221,100.1,3.700000047683716,343.0,21.430099487304688,21.883281707763672,-0.0944504606023788,0.050266238011482,0.0245365789707797,0.0358572639524936,-0.0561797767877578,-0.1380824297666549,-0.2071217539161444,0.3433720016106963,-10.18184432387352,0.0,0.0,3,H
221,100.2,3.799999952316284,344.0,21.44512367248535,22.352436065673828,-0.0649031811280267,0.0370315776813631,0.0938410097319331,0.0001154679848696,0.1821313947439193,-0.0342217311263084,-0.1216716407239437,0.3658076584339142,-10.196717301607134,0.0,0.0,3,H
