epoch,train_loss,val_loss,learning_rate,candidate,model_type,window_seconds,window_steps,is_best_epoch,phase
11,0.03012580033490938,0.023462401302321374,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
12,0.029585275684594167,0.022104123596154213,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
13,0.028977553684003152,0.023051446127789837,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
14,0.028588904895587075,0.02229857133845597,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
15,0.027858051369188338,0.022275137334680645,0.0003,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
16,0.027405335771276594,0.02217786604133341,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
17,0.026885524404058312,0.020949954742487432,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
18,0.02674958751970055,0.02107228169275594,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
19,0.026752539524231678,0.021209785605552065,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
20,0.026447919744877858,0.02143898172977129,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
21,0.026233962519700553,0.02072540599351101,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
22,0.02611855114755713,0.021068294508874163,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
23,0.02563072855102443,0.02099920501801969,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
24,0.025615646855299448,0.020820538638787325,0.00015,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
25,0.0255144952964933,0.020827936501418724,7.5e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
26,0.025358448458431836,0.020581227639039648,7.5e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
27,0.025175962864460204,0.02064794416038239,7.5e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
28,0.025251588356973994,0.02026813328084533,7.5e-05,tcn_rls_window_1s,tcn_rls,1.0,8,1,stage1_tcn_window
29,0.025111277334515368,0.0206282723175179,7.5e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
30,0.02495346360323089,0.02027698728385893,7.5e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
31,0.02487415503102837,0.020576247378575375,7.5e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
32,0.024917921037726557,0.021081498336094608,3.75e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
33,0.02470841028861308,0.020612675064152004,3.75e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
34,0.02467049596138692,0.020383335743496725,3.75e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
35,0.024621755565405832,0.020366423686490706,3.75e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
36,0.024650932390169425,0.020555450420856186,1.875e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
37,0.024523746860224585,0.020455558818698583,1.875e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
38,0.024548201709022853,0.02053846397609118,1.875e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
39,0.024538874729117414,0.020392186027122373,1.875e-05,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
40,0.024610947965918045,0.02043695444017558,9.375e-06,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
41,0.024356867796985815,0.020515513492749278,9.375e-06,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
42,0.024435399120862886,0.020409815926002627,9.375e-06,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
43,0.024318665657013395,0.02038882556011007,9.375e-06,tcn_rls_window_1s,tcn_rls,1.0,8,0,stage1_tcn_window
