flight,route,rows,duration_s,actual_energy_wh,predicted_energy_wh,tcn_predicted_energy_wh,actual_mean_power_w,predicted_mean_power_w,tcn_predicted_mean_power_w,programmed_speed_mps,payload_kg,altitude_m,predicted_energy_lower_wh,predicted_energy_upper_wh,energy_error_wh,energy_abs_error_wh,energy_abs_percent_error
135,R1,1309,196.42,23.605197221839926,23.767274758766444,22.76125563812249,432.98112944991004,435.61604239979374,417.079987902139,4.0,0.25,25.0,19.574486037466205,28.732319635416083,0.1620775369265175,0.1620775369265175,0.6866180163771757
137,R1,1315,197.51999999999995,24.514611064158007,24.431482380612376,24.094428409915434,446.3468931300432,445.14507145425404,439.1503202285856,8.0,0.25,100.0,20.268398759269655,29.424332721900623,-0.08312868354563108,0.08312868354563108,0.3390985209925306
148,R1,2027,304.31999999999994,22.860361877305824,22.973069484485272,23.023452104483635,270.49808218769726,271.61738345362704,272.14876621377834,4.0,0.0,50.0,18.468665041266483,30.665577665230675,0.11270760717944839,0.11270760717944839,0.49302634745837803
149,R1,1158,173.92999999999998,20.47829823387025,20.486569111490734,20.195233356857244,424.317528122146,424.5364722791243,418.51533877681004,10.0,0.25,75.0,16.900820526695206,24.88311862475655,0.008270877620482509,0.008270877620482509,0.04038850067532868
158,R1,1127,169.01999999999998,20.188246781662436,20.201479221388183,19.77037754809056,429.30764809133484,429.9285566229343,420.7873635877489,12.0,0.25,75.0,16.739156968604146,24.47391525158532,0.013232439725747724,0.013232439725747724,0.06554526437514688
162,R1,1206,181.42,23.43190430549117,23.34840016590106,23.558507680129946,465.74276196127636,464.3912187651849,468.6106335066119,8.0,0.5,75.0,19.470553927781797,27.934279615660643,-0.08350413959010794,0.08350413959010794,0.3563694119838953
168,R1,1206,180.92,20.69308452332399,20.684367686116765,20.335854786131062,411.67789789213276,411.8745250707753,405.00481493240466,10.0,0.25,75.0,17.07535820096329,25.257608288313346,-0.00871683720722416,0.00871683720722416,0.04212439763341743
194,R1,1366,204.82999999999996,19.320862637224224,19.20968384307588,20.1510506381564,339.59983322564693,337.6749428985163,354.19361406068816,12.0,0.0,100.0,15.452580444674972,24.3873141357352,-0.1111787941483442,0.1111787941483442,0.5754339039404142
203,R1,951,142.81999999999996,14.330586411949836,14.496412868440519,14.45922597855457,360.8795237114515,365.4664818180021,364.6443709360988,8.0,0.0,25.0,11.529862234984465,18.10657328633636,0.16582645649068262,0.16582645649068262,1.15715052911167
208,R1,1320,198.20999999999995,22.980207756586914,23.07963163807276,23.222035890748703,417.74599314597225,419.2615018733977,421.79383843287883,6.0,0.25,75.0,18.91265965612194,28.089923588997944,0.09942388148584769,0.09942388148584769,0.43265005494717257
233,R1,1446,216.82999999999996,23.129173731114356,22.96754777854244,23.3394540650261,383.73185157730876,381.2302928486113,387.3285774626348,4.0,0.0,50.0,18.431405708736783,28.448510412713812,-0.16162595257191725,0.16162595257191725,0.6987969153195088
234,R1,1263,189.42,20.00446070191764,19.950849183433238,20.551538570149674,380.02371383174574,379.0162978860927,390.54936900831353,10.0,0.0,100.0,16.039907861985046,24.73895019420085,-0.053611518484402154,0.053611518484402154,0.2679978195026418
250,R1,1101,165.31999999999996,21.7819172380397,21.74702909076309,22.333313990190234,473.6320774872413,473.5661417994986,486.3248357148047,10.0,0.25,100.0,17.97890413572518,25.92593764899401,-0.03488814727661094,0.03488814727661094,0.16017023155189783
275,R1,983,149.51999999999998,16.298237769732534,16.239952253050976,17.230362229495526,391.14494265628844,389.26058252613024,413.09450446940997,8.0,0.5,25.0,13.398829908455705,20.01947322829104,-0.05828551668155768,0.05828551668155768,0.35761851989789806
277,R1,860,134.92999999999998,15.531450565332639,15.46039926395541,16.285384911092077,408.24135669452704,405.82634429366976,427.209426127093,10.0,0.5,25.0,12.851467602581412,18.871118667307076,-0.07105130137722959,0.07105130137722959,0.45746726024304146
